MONTH,ACCIDENT_DATE,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,HIT_RUN_FLAG,LIGHT_CONDITION,SEVERITY,SPEED_ZONE,RUN_OFFROAD,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,DRIVER,MOTORIST,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,STAT_DIV_NAME,MONTH,MONTH_COUNT,MONTH_ALC,MONTH_NALC,DAY,DAY_COUNT
2019/01,2019/01/02 00:00:00+00,No,Struck Pedestrian,Wednesday,No,Day,Serious injury accident,Not known,No,145.0524249,-37.85318337,Intersection,STONNINGTON,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,1,1,0,1,0,0,0,0,0,No,0,1,0,0,0,1,Metro,,,,,,
2019/01,2019/01/02 00:00:00+00,No,Struck Pedestrian,Wednesday,No,Day,Other injury accident,40 km/hr,No,144.9565116,-37.81174158,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2,2,0,0,2,0,1,1,0,1,0,0,0,0,1,No,0,1,0,1,0,0,Metro,,,,,,
2019/01,2019/01/02 00:00:00+00,No,Vehicle overturned (no collision),Tuesday,No,Day,Serious injury accident,100 km/hr,Yes,145.8480205,-37.54508441,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,No,0,1,0,0,1,0,Metro,,,,,,
2019/01,2019/01/02 00:00:00+00,No,Collision with vehicle,Wednesday,No,Day,Other injury accident,50 km/hr,No,144.3411119,-38.13392261,Intersection,GEELONG,SOUTH WESTERN REGION,2,1,0,0,1,1,1,1,0,2,0,0,0,0,1,No,0,2,0,2,0,0,Country,,,,,,
2019/01,2019/01/02 00:00:00+00,Yes,Collision with vehicle,Tuesday,No,Day,Other injury accident,60 km/hr,No,144.3468473,-37.55160344,Non-Intersection,MOORABOOL,WESTERN REGION,2,1,0,0,1,1,1,1,0,2,0,0,0,0,0,No,0,2,0,2,0,0,Country,,,,,,
2019/01,2019/01/02 00:00:00+00,Yes,Collision with vehicle,Wednesday,Yes,Dark Street lights on,Other injury accident,50 km/hr,No,145.170104,-37.95819443,Non-Intersection,DANDENONG,METROPOLITAN SOUTH EAST REGION,3,2,0,0,2,1,1,0,0,2,0,0,0,0,0,No,0,2,0,2,0,0,Metro,,,,,,
2019/01,2019/01/02 00:00:00+00,No,Collision with a fixed object,Wednesday,No,Day,Serious injury accident,60 km/hr,Yes,145.1362956,-37.85821824,Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,No,0,1,0,1,0,0,Metro,,,,,,
2019/01,2019/01/02 00:00:00+00,No,Collision with vehicle,Wednesday,No,Day,Other injury accident,100 km/hr,No,146.8639872,-38.10200194,Intersection,WELLINGTON,EASTERN REGION,3,1,0,0,1,2,2,1,0,2,0,0,0,0,0,No,0,2,1,1,0,0,Country,,,,,,
2019/01,2019/01/02 00:00:00+00,No,No collision and no object struck,Wednesday,No,Day,Serious injury accident,40 km/hr,No,147.06322,-36.92992,Non-Intersection,ALPINE,NORTH EASTERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,No,0,1,0,0,1,0,Country,,,,,,
2019/01,2019/01/02 00:00:00+00,Yes,Struck Pedestrian,Tuesday,Yes,Day,Other injury accident,50 km/hr,No,145.2315885,-37.88847424,Off Road,KNOX,METROPOLITAN SOUTH EAST REGION,3,2,0,0,2,1,1,0,0,1,0,0,0,0,0,No,0,1,0,1,0,0,Metro,,,,,,
2019/01,2019/01/02 00:00:00+00,Yes,Collision with vehicle,Wednesday,Yes,Day,Serious injury accident,60 km/hr,No,145.0215578,-37.75857284,Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,7,5,0,5,0,2,4,1,0,3,0,0,0,0,0,No,0,3,0,3,0,0,Metro,,,,,,
2019/01,2019/01/02 00:00:00+00,No,Collision with vehicle,Wednesday,No,Day,Other injury accident,80 km/hr,No,145.0898111,-37.70322919,Non-Intersection,BANYULE,METROPOLITAN NORTH WEST REGION,4,1,0,0,1,3,1,3,0,4,0,0,0,1,1,No,0,4,0,4,0,0,Metro,,,,,,
2019/01,2019/01/02 00:00:00+00,No,Vehicle overturned (no collision),Wednesday,No,Day,Serious injury accident,100 km/hr,Yes,141.2754317,-38.15474307,Non-Intersection,GLENELG,SOUTH WESTERN REGION,2,2,0,1,1,0,2,0,0,1,0,0,0,0,0,No,0,1,0,1,0,0,Country,,,,,,
2019/01,2019/01/02 00:00:00+00,Yes,Struck Pedestrian,Wednesday,No,Day,Serious injury accident,60 km/hr,No,145.1200848,-38.14542355,Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,1,1,0,1,0,0,0,0,0,No,0,1,0,1,0,0,Metro,,,,,,
2019/01,2019/01/02 00:00:00+00,No,Fall from or in moving vehicle,Wednesday,No,Day,Other injury accident,50 km/hr,No,144.749761,-36.12418834,Non-Intersection,CAMPASPE,NORTHERN REGION,2,1,0,0,1,1,1,1,0,1,0,0,0,0,0,No,0,1,0,0,0,1,Country,,,,,,
2019/01,2019/01/02 00:00:00+00,No,Collision with vehicle,Wednesday,No,Day,Other injury accident,50 km/hr,No,144.9182625,-37.74933434,Intersection,MOONEE VALLEY,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,0,2,0,0,0,0,0,No,0,2,0,2,0,0,Metro,,,,,,
2019/01,2019/01/03 00:00:00+00,No,Collision with vehicle,Wednesday,No,Day,Other injury accident,80 km/hr,No,144.68822,-37.91563,Non-Intersection,WYNDHAM,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,0,2,0,0,0,0,0,No,0,2,0,2,0,0,Metro,,,,,,
2019/01,2019/01/03 00:00:00+00,No,Collision with vehicle,Thursday,No,Day,Other injury accident,80 km/hr,No,147.0829566,-38.15356877,Intersection,WELLINGTON,EASTERN REGION,3,1,0,0,1,2,1,2,0,2,0,0,0,0,0,No,0,2,0,2,0,0,Country,,,,,,
2019/01,2019/01/03 00:00:00+00,Yes,Collision with vehicle,Wednesday,No,Day,Other injury accident,80 km/hr,No,145.2874958,-37.82625449,Non-Intersection,MAROONDAH,METROPOLITAN SOUTH EAST REGION,4,3,0,0,3,1,3,1,0,2,0,0,0,0,0,No,0,2,0,2,0,0,Metro,,,,,,
2019/01,2019/01/03 00:00:00+00,No,Collision with a fixed object,Thursday,No,Day,Serious injury accident,80 km/hr,Yes,147.1993115,-36.75559039,Non-Intersection,ALPINE,NORTH EASTERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,No,0,1,0,0,1,0,Country,,,,,,
2019/01,2019/01/03 00:00:00+00,No,Vehicle overturned (no collision),Wednesday,No,Day,Other injury accident,Camping grounds or off road,Yes,146.6963674,-37.19901948,Off Road,WELLINGTON,EASTERN REGION,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,No,0,1,0,1,0,0,Country,,,,,,
2019/01,2019/01/03 00:00:00+00,No,Collision with vehicle,Thursday,No,Day,Other injury accident,50 km/hr,No,145.5020625,-38.06056782,Non-Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,1,1,1,0,0,0,0,0,No,0,2,0,1,0,0,Metro,,,,,,
2019/01,2019/01/03 00:00:00+00,No,Collision with vehicle,Wednesday,No,Day,Serious injury accident,Other speed limit,No,145.2477668,-37.84433,Off Road,KNOX,METROPOLITAN SOUTH EAST REGION,2,2,0,1,1,0,1,1,0,2,0,0,0,0,0,No,0,2,0,2,0,0,Metro,,,,,,
2019/01,2019/01/03 00:00:00+00,Yes,Struck Pedestrian,Thursday,No,Dark Street lights on,Other injury accident,60 km/hr,No,144.3434304,-38.1911027,Off Road,GEELONG,SOUTH WESTERN REGION,4,1,0,0,1,3,3,0,0,1,0,0,0,0,1,No,0,1,0,1,0,0,Country,,,,,,
2019/01,2019/01/03 00:00:00+00,Yes,Collision with vehicle,Thursday,No,Dark No street lights,Other injury accident,100 km/hr,No,143.6209686,-38.7788491,Non-Intersection,COLAC OTWAY,SOUTH WESTERN REGION,4,2,0,0,2,2,2,2,0,2,0,0,0,0,0,No,0,2,0,2,0,0,Country,,,,,,
2019/01,2019/01/03 00:00:00+00,No,collision with some other object,Thursday,No,Day,Serious injury accident,100 km/hr,Yes,147.5763246,-36.17164347,Non-Intersection,TOWONG,NORTH EASTERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,No,0,1,0,0,1,0,Country,,,,,,
